,geocode
47677,"Forth, South Lanarkshire, Scotland, ML11 8AA, United Kingdom"
47732,"Golborne, Wigan, Greater Manchester, North West England, England, WA3 3AB, United Kingdom"
47749,"Gretna, Dumfries and Galloway, Scotland, DG16 5AQ, United Kingdom"
47753,"Hale, Halton, North West England, England, United Kingdom"
47757,"Handforth, Wilmslow, Cheshire East, North West England, England, United Kingdom"
47762,"Harthill, Cheshire West and Chester, North West England, England, United Kingdom"
47766,"Hazel Grove, Norbury Grove, Stepping Hill, Hazel Grove, Stockport, Greater Manchester, North West England, England, SK7 5NX, United Kingdom"
47772,"Hindley, Wigan, Greater Manchester, North West England, England, WN2 3PA, United Kingdom"
47781,"Ince, Cheshire West and Chester, North West England, England, United Kingdom"
47792,"Kelty, Fife, Scotland, KY4 0DA, United Kingdom"
47798,"Kilsyth, North Lanarkshire, Scotland, G65 0AQ, United Kingdom"
47811,"Ladybank, Fife, Scotland, KY15 7NS, United Kingdom"
47844,"Lenzie, East Dunbartonshire, Scotland, G66 5ER, United Kingdom"
47857,"Loch Baghasdail, Na h-Eileanan Siar, Scotland, HS8 5TH, United Kingdom"
47859,"Lochinver, Highland, Scotland, IV27 4LH, United Kingdom"
47860,"Lochmaben, Dumfries and Galloway, Scotland, DG11 1NQ, United Kingdom"
47861,"Lochwinnoch, Renfrewshire, Scotland, PA12 4DA, United Kingdom"
48000,"Lybster, Caithness, Scotland, KW3 6AE, United Kingdom"
48004,"Maghull, Sefton, North West England, England, United Kingdom"
48039,"Meadowhall, Meadowhall Way, Tinsley, Sheffield, Yorkshire and the Humber, England, S9 1EW, United Kingdom"
48043,"Milngavie, East Dunbartonshire, Scotland, G62 6BH, United Kingdom"
48047,"Mossley, Tameside, Greater Manchester, North West England, England, United Kingdom"
48049,"Muir of Ord, Highland, Scotland, IV6 7RR, United Kingdom"
48053,"Netherlee, Clarkston, East Renfrewshire, Scotland, G44 3SQ, United Kingdom"
48054,"New Cumnock, East Ayrshire, Scotland, KA18 4AT, United Kingdom"
48055,"Newbridge, City of Edinburgh, Scotland, EH28 8SR, United Kingdom"
48056,"Newburgh, Fife, Scotland, KY14 6AH, United Kingdom"
48066,"Newtongrange, Midlothian, Scotland, EH22 4LH, United Kingdom"
48067,"Newtown St Boswells, Scottish Borders, Scotland, TD6 0SJ, United Kingdom"
48086,"Orrell, Church Street, Higher End, Far Moor, Wigan, Greater Manchester, North West England, England, WN5 8TG, United Kingdom"
48089,"Parbold, West Lancashire, Lancashire, North West England, England, United Kingdom"
48090,"Partington, Trafford, Greater Manchester, North West England, England, United Kingdom"
48092,"Pemberton, Billinge Road, Lamberhead Green, Orrell, Wigan, Greater Manchester, North West England, England, WN5 8DF, United Kingdom"
48094,"Penwortham, South Ribble, Lancashire, North West England, England, United Kingdom"
48111,"Prestonpans, East Lothian, Scotland, EH32 9AE, United Kingdom"
48113,"Radcliffe, Bury, Greater Manchester, North West England, England, M26 1AD, United Kingdom"
48121,"Romiley, Station Approach, Romiley, Marple, Stockport, Greater Manchester, North West England, England, SK6 4BL, United Kingdom"
48135,"Scarinish, Argyll and Bute, Scotland, PA77 6UH, United Kingdom"
48138,"Shaw, Oldham, Greater Manchester, North West England, England, OL2 7WS, United Kingdom"
48147,"South Elmsall, Wakefield, West Yorkshire, Yorkshire and the Humber, England, United Kingdom"
48195,"Stepps, North Lanarkshire, Scotland, G33 6HA, United Kingdom"
48210,"Swallownest, Rotherham, Yorkshire and the Humber, England, S26 4TL, United Kingdom"
48221,"Thornton, Buckinghamshire, South East England, England, United Kingdom"
48223,"Tighnabruaich, Argyll and Bute, Scotland, PA21 2BG, United Kingdom"
48224,"Tongue, Highland, Scotland, IV27 4XB, United Kingdom"
48226,"Tranent, East Lothian, Scotland, EH33 9AH, United Kingdom"
48241,"West Calder, West Lothian, Scotland, EH55 8BY, United Kingdom"
48243,"Westhill, Cradlehall and Westhill, Inverness, Highland, Scotland, IV2 5TD, United Kingdom"
48253,"Wollaton, City of Nottingham, East Midlands, England, NG8 2AF, United Kingdom"
48282,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom"
48466,"Cookham, Cookham Rise, Windsor and Maidenhead, South East England, England, United Kingdom"
48584,"Knowle, Bristol, City of Bristol, South West England, England, BS4 2QU, United Kingdom"
48661,"Horndon On The Hill, Essex, East of England, England, SS17 8NX, United Kingdom"
48819,"East Ham, London, Greater London, England, E6 2RP, United Kingdom"
48954,
49200,"Chobham, Surrey Heath, Surrey, South East England, England, United Kingdom"
49278,"Aboyne, Aberdeenshire, Scotland, AB34 5HT, United Kingdom"
49289,
49290,"Amble, Northumberland, North East England, England, NE65, United Kingdom"
49460,"Buckhaven, Fife, Scotland, KY8 1LF, United Kingdom"
49464,"Bude, Cornwall, South West England, England, EX23 8, United Kingdom"
49477,"Cambuslang, South Lanarkshire, Scotland, G72 7EL, United Kingdom"
49511,
49521,"Cowley, Oxford, Oxfordshire, South East England, England, OX4 3LW, United Kingdom"
49525,"Crook, South Lakeland, Cumbria, North West England, England, United Kingdom"
49569,"Dunmow, B1256, Great Dunmow, Uttlesford, Essex, East of England, England, CM6 1XJ, United Kingdom"
49573,"Ealing, London, Greater London, England, W5 5DG, United Kingdom"
49629,"Finchley, London Borough of Barnet, London, Greater London, England, N3 2RN, United Kingdom"
49694,"Glynneath, Heads of the Valleys Road, Glynneath, Glyn-neath, Neath Port Talbot, Cymru / Wales, SA11, United Kingdom"
49719,"Haslingden, Rossendale, Lancashire, North West England, England, BB4 5LG, United Kingdom"
49734,"Hucclecote, Gloucester, Gloucestershire, South West England, England, GL3, United Kingdom"
49758,"Jarrow, South Tyneside, Tyne and Wear, North East England, England, NE32 3JU, United Kingdom"
49903,"Murton, Eden, Cumbria, North West England, England, United Kingdom"
49909,"Netherfield, Carlton, Gedling, Nottinghamshire, East Midlands, England, NG4 2FP, United Kingdom"
49990,"Prestwich, Bury, Greater Manchester, North West England, England, M25 3JT, United Kingdom"
50014,"Rosyth, Fife, Scotland, United Kingdom"
50023,"Sawbridgeworth, East Hertfordshire, Hertfordshire, East of England, England, United Kingdom"
50044,"Somerton, Babergh, Suffolk, East of England, England, United Kingdom"
50100,"Tenbury Wells, Malvern Hills, Worcestershire, West Midlands, England, WR15 8EY, United Kingdom"
50102,"Thornliebank, East Renfrewshire, Scotland, G46 7RX, United Kingdom"
50154,"Winslow, Buckinghamshire, South East England, England, United Kingdom"
50163,"Royal Wootton Bassett, Wiltshire, South West England, England, United Kingdom"
50166,"Wotton-under-Edge, Stroud, Gloucestershire, South West England, England, United Kingdom"
50309,"Brasted, Sevenoaks, Kent, South East England, England, United Kingdom"
50375,"Odiham, Hart, Hampshire, South East England, England, United Kingdom"
50434,"Hawkhurst, Tunbridge Wells, Kent, South East England, England, United Kingdom"
50561,"Crosshills, Craven, North Yorkshire, Yorkshire and the Humber, England, BD20 7DA, United Kingdom"
50572,"Elland, Calderdale, West Yorkshire, Yorkshire and the Humber, England, HX5 0BX, United Kingdom"
50575,"Eston, Lackenby, Redcar and Cleveland, North East England, England, TS6 9EN, United Kingdom"
50576,"Featherstone, Wakefield, West Yorkshire, Yorkshire and the Humber, England, United Kingdom"
50625,"Kirkbymoorside, Ryedale, North Yorkshire, Yorkshire and the Humber, England, United Kingdom"
50671,"Littleborough, Rochdale, Greater Manchester, North West England, England, OL15 0HF, United Kingdom"
50763,"South Bank, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 9NL, United Kingdom"
50826,"St. George's, Saint George, 1473, Grenada"
50833,"თბილისი, საქართველო"
50835,"Аҟəа - Сухум, Аҟәа араион - Сухумский район, აფხაზეთის ავტონომიური რესპუბლიკა - Аҧсны Автономтә Республика, Абхазия - Аҧсны, საქართველო"
50845,"ბათუმი, აჭარის ავტონომიური რესპუბლიკა, საქართველო"
50846,"ქუთაისი, იმერეთი, საქართველო"
50855,"ახალციხე, სამცხე-ჯავახეთი, 0800, საქართველო"
50857,"გარდაბანი, გარდაბნის მუნიციპალიტეტი, ქვემო ქართლი, 1300, საქართველო"
50858,"გორი, გორის მუნიციპალიტეტი, შიდა ქართლი, 1400, საქართველო"
50859,"გურჯაანი, გურჯაანის მუნიციპალიტეტი, კახეთი, საქართველო"
50861,"მარნეული, მარნეულის მუნიციპალიტეტი, ქვემო ქართლი, 3000, საქართველო"
50862,"ოზურგეთი, გურია, საქართველო"
50863,"ფოთი, სამეგრელო-ზემო სვანეთი, 4400, საქართველო"
50864,"რუსთავი, ქვემო ქართლი, 3700, საქართველო"
50873,"თელავი, კახეთი, 2200, საქართველო"
50874,"ზუგდიდი, სამეგრელო-ზემო სვანეთი, საქართველო"
50884,"ბორჯომი, ბორჯომის რაიონი, სამცხე-ჯავახეთი, BORJOMI 1200, საქართველო"
50898,"Cayenne, Arrondissement de Cayenne, Guyane, 97300, France"
50901,"Kourou, Arrondissement de Cayenne, Guyane, 97310, France"
50902,"Saint-Laurent-du-Maroni, Arrondissement de Saint-Laurent-du-Maroni, Guyane, 97320, France"
50904,"St Peter Port, Guernsey"
50935,"Alderney, St Anne, Alderney, GY9 3XT, Guernsey"
50936,"Sark, Guernsey"
50937,"St Martin, Guernsey"
50940,"St Sampson, Guernsey"
50965,"Guernsey, Vale, Guernsey"
50984,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana"
50987,"Bolgatanga, Bolgatanga Municipal District, Upper East Region, Ghana"
50988,"Cape Coast, Cape Coast Metropolitan District, Central Region, Ghana"
50989,"Kumasi, Kumasi Metropolitan District, Ashanti Region, M9VH+94, Ghana"
50990,"Sunyani, Sunyani Municipal District, Bono Region, 807, Ghana"
50991,"Takoradi, Sekondi Takoradi Metropolitan District, Western Region, MC 1613, Ghana"
50992,"Tamale, Tamale Metropolitan District, Northern Region, P.O. BOX 232, Ghana"
50993,"Tema, Tema Metropolitan District, Greater Accra Region, GT-020-5892, Ghana"
50994,"Wa, Wa Municipal District, Upper West Region, Ghana"
51081,Gibraltar
51096,"Marina Bay, Waterport Road, Ocean Village, Gibraltar, GX111AA, Gibraltar"
51112,
51113,"Fajara, Serrekunda, Kanifing, SECTION A, Gambia"
51114,"Banjul, Gambia"
51118,"Kanifing, Gambia"
51124,"Serrekunda, Kanifing, 220, Gambia"
51137,"Conakry, Guinée"
51156,"Basse-Terre, Guadeloupe, 97100, France"
51157,"Pointe-à-Pitre, Guadeloupe, 97110, France"
51158,"Baie-Mahault, Basse-Terre, Guadeloupe, 97122, France"
51160,"Les Abymes, Pointe-à-Pitre, Guadeloupe, France"
51171,"Malabo, Bioko Norte, Región Insular, 240, Guinea Ecuatorial"
51172,"Bata, Litoral, Región Continental, Guinea Ecuatorial"
51182,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10431, Ελλάς"
51185,"Δήμος Αμαρουσίου, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
51193,"Κηφισιά, Αθήνα - Θεσσαλονίκη - Εύζωνοι, Δήμος Κηφισιάς, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 14564, Ελλάς"
51243,"Θεσσαλονίκη, Δημοτική Ενότητα Θεσαλονίκης, Δήμος Θεσσαλονίκης, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 54626, Ελλάς"
51253,"Δήμος Καλλιθέας, Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
51258,"Πειραιάς, Δήμος Πειραιώς, Περιφερειακή Ενότητα Πειραιώς, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 18535, Ελλάς"
51260,"Δήμος Γλυφάδας, Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
51261,"Καστοριά, Δήμος Καστοριάς, Περιφερειακή Ενότητα Καστοριάς, Περιφέρεια Δυτικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας, 52100, Ελλάς"
51262,"Λάρισα, Δήμος Λαρισαίων, Περιφερειακή Ενότητα Λάρισας, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, 42222, Ελλάς"
51265,"Δήμος Πατρέων, Περιφερειακή Ενότητα Αχαΐας, Περιφέρεια Δυτικής Ελλάδας, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, Ελλάς"
51266,"Χανιά, Δήμος Χανίων, Περιφερειακή Ενότητα Χανίων, Περιφέρεια Κρήτης, Αποκεντρωμένη Διοίκηση Κρήτης, 73135, Ελλάς"
51267,"Κόρινθος, Δημοτική Ενότητα Κορινθίων, Δήμος Κορινθίων, Περιφερειακή Ενότητα Κορινθίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 20100, Ελλάς"
51268,"Ρόδος, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
51269,"Δράμα, Δήμος Δράμας, Περιφερειακή Ενότητα Δράμας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 66100, Ελλάς"
51270,"Ιωάννινα, Δήμος Ιωαννιτών, Περιφερειακή Ενότητα Ιωαννίνων, Περιφέρεια Ηπείρου, Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας, 45333, Ελλάς"
51271,"Χαλκίδα, Δήμος Χαλκιδέων, Περιφερειακή Ενότητα Ευβοίας, Περιφέρεια Στερεάς Ελλάδος, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, 34109, Ελλάς"
51272,"Αλεξανδρούπολη, Δήμος Αλεξανδρούπολης, Περιφερειακή Ενότητα Έβρου, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 68100, Ελλάς"
51273,"Δήμος Καρδίτσας, Περιφερειακή Ενότητα Καρδίτσας, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, 43100, Ελλάς"
51274,"Λαμία, Δήμος Λαμιέων, Περιφερειακή Ενότητα Φθιώτιδας, Περιφέρεια Στερεάς Ελλάδος, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, 35100, Ελλάς"
51275,"Μυτιλήνη, Δημοτική Ενότητα Μυτιλήνης, Δήμος Μυτιλήνης, Περιφερειακή Ενότητα Λέσβου, Περιφέρεια Βόρειου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 81100, Ελλάς"
51276,"Δήμος Κατερίνης, Περιφερειακή Ενότητα Πιερίας, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς"
51277,"Σέρρες, Δήμος Σερρών, Περιφερειακή Ενότητα Σερρών, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 62100, Ελλάς"
51278,"Δήμος Τρικκαίων, Περιφερειακή Ενότητα Τρικάλων, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, Ελλάς"
51279,"Κοζάνη, Δήμος Κοζάνης, Περιφερειακή Ενότητα Κοζάνης, Περιφέρεια Δυτικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας, 50100, Ελλάς"
51303,
51308,"Δήμος Περιστερίου, Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
51372,"Ηράκλειο, Δημοτική Ενότητα Ηρακλείου, Δήμος Ηρακλείου, Περιφερειακή Ενότητα Ηρακλείου, Περιφέρεια Κρήτης, Αποκεντρωμένη Διοίκηση Κρήτης, 71202, Ελλάς"
51385,"Δήμος Χαλανδρίου, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
51403,Guatemala
51417,"Chichicastenango, Quiché, GUATEMALA, Guatemala"
51418,"Cobán, Alta Verapaz, 16001, Guatemala"
51419,"Esquipulas, Chiquimula, 20007, Guatemala"
51420,"Gualán, Zacapa, 190004, Guatemala"
51425,
51441,"Calzada Atanasio Tzul ( Diagonal 3 ), Colonia 23 de Julio, Zona 13, Ciudad de Guatemala, Guatemala, 01012, Guatemala"
51464,"Tamuning, Tamuning Municipality, Guam, United States"
51465,"Hagåtña, Sinajana Municipality, Guam, United States"
51468,"Bissau, Sector autónomo de Bissau, C.P. 1001, Guiné-Bissau"
51474,"City of Georgetown, Demerara-Mahaica, Guyana"
51483,"香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国"
51492,"香港麗思卡爾頓酒店 The Ritz-Carlton, Hong Kong, 柯士甸道西 Austin Road West, 西九龍 West Kowloon, 油麻地 Yau Ma Tei, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, 000000, 中国"
51497,"灣仔 Wan Chai, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国"
51508,"沙田 Sha Tin, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国"
51527,"上環 Sheung Wan, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国"
51622,"荔枝角 Lai Chi Kok, 長沙灣道 Cheung Sha Wan Road, 長沙灣工業區 Cheung Sha Wan Industrial Area, 長沙灣 Cheung Sha Wan, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, 中国"
51660,"銅鑼灣 Causeway Bay, 天后 Tin Hau, 銅鑼灣 Causeway Bay, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国"
51671,"荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国"
51807,"香港 Hong Kong, 金融街 Finance Street, SoHo, 中區 Central District, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国"
52121,"深水埗 Sham Shui Po, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, 000000, 中国"
52292,"觀塘 Kwun Tong, 觀塘區 Kwun Tong District, 九龍 Kowloon, 香港 Hong Kong, 中国"
52616,
52845,"San Pedro Sula, Cortés, Honduras"
52846,"Tegucigalpa, Francisco Morazán, Honduras"
52861,"Santa Rosa de Copán, Copán, 41101, Honduras"
52873,"Comayagüela, Tegucigalpa, Distrito Central, Francisco Morazán, 12101, Honduras"
52887,"Santa Rosa de Copán, Copán, 41101, Honduras"
52896,"Cortés, Honduras"
52898,"Zagreb, Grad Zagreb, Hrvatska"
52904,"Varaždin, Grad Varaždin, Varaždinska županija, Hrvatska"
52906,"Grad Rijeka, Primorsko-goranska županija, Hrvatska"
52920,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
52924,"Umag, Grad Umag, Istarska županija, 52470, Hrvatska"
52926,"Šibenik, Grad Šibenik, Šibensko-kninska županija, Hrvatska"
52928,"Karlovac, Grad Karlovac, Karlovačka županija, Hrvatska"
52931,"Dubrovnik, Grad Dubrovnik, Dubrovačko-neretvanska županija, Hrvatska"
52932,"Grad Pula, Istarska županija, Hrvatska"
52935,"Sisak, Grad Sisak, Sisačko-moslavačka županija, Hrvatska"
52937,"Zadar, Grad Zadar, Zadarska županija, Hrvatska"
52941,"Koprivnica, Grad Koprivnica, Koprivničko-križevačka županija, 48000, Hrvatska"
52947,"Samobor, Grad Samobor, Zagrebačka županija, Hrvatska"
52950,"Slatina, Grad Slatina, Virovitičko-podravska županija, 33520, Hrvatska"
52958,"Bjelovar, Grad Bjelovar, Bjelovarsko-bilogorska županija, 43000, Hrvatska"
52959,
52961,"Križevci, Grad Križevci, Koprivničko-križevačka županija, 48260, Hrvatska"
52962,"Makarska, Grad Makarska, Splitsko-dalmatinska županija, 21300, Hrvatska"
52963,"Nova Gradiška, Grad Nova Gradiška, Brodsko-posavska županija, 35400, Hrvatska"
52964,"Osijek, Grad Osijek, Osječko-baranjska županija, Hrvatska"
52965,"Poreč, Grad Poreč, Istarska županija, 52441, Hrvatska"
52968,"Grad Rovinj, Istarska županija, Hrvatska"
52972,"Virovitica, Grad Virovitica, Virovitičko-podravska županija, 33000, Hrvatska"
52973,"Grad Zabok, Krapinsko-zagorska županija, 49210, Hrvatska"
52976,"Arrondissement de Port-au-Prince, Département de l'Ouest, Ayiti"
52978,"Pétion-Ville, Arrondissement de Port-au-Prince, Département de l'Ouest, 6140, Ayiti"
52980,"Cap-Haïtien, Commune Cap-Haïtien, Arrondissement de Cap-Haïtien, Département du Nord, 1113, Ayiti"
52982,"Cange, 1re Rang, Commune Cerca Carvajal, Arrondissement de Hinche, Département du Centre, Ayiti"
52990,"Budapest, Közép-Magyarország, 1011-1239, Magyarország"
53034,"Győr, Győri járás, Győr-Moson-Sopron megye, Nyugat-Dunántúl, Dunántúl, 9000, Magyarország"
53035,"Dunabogdány, Szentendrei járás, Pest megye, Közép-Magyarország, 2023, Magyarország"
53046,"Füzesabony, Füzesabonyi járás, Heves megye, Észak-Magyarország, Alföld és Észak, Magyarország"
53057,"Hajdúdorog, Hajdúböszörményi járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4087, Magyarország"
53058,"Békéscsaba, Békéscsabai járás, Békés megye, Dél-Alföld, Alföld és Észak, 5600, Magyarország"
53069,"Bábolna, Komáromi járás, Komárom-Esztergom megye, Közép-Dunántúl, Dunántúl, 2943, Magyarország"
53082,"Körmend, Körmendi járás, Vas megye, Nyugat-Dunántúl, Dunántúl, Magyarország"
53094,"Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7600, Magyarország"
53095,"Mecseknádasd, Pécsváradi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7695, Magyarország"
53105,"Örkény, Dabasi járás, Pest megye, Közép-Magyarország, 2377, Magyarország"
53111,"Pilisvörösvár, Pilisvörösvári járás, Pest megye, Közép-Magyarország, 2085, Magyarország"
53112,"Keszthely, Keszthelyi járás, Zala megye, Nyugat-Dunántúl, Dunántúl, 8360, Magyarország"
53113,"Polgár, Hajdúnánási járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4090, Magyarország"
53121,"Budaörs, Budakeszi járás, Pest megye, Közép-Magyarország, 2040, Magyarország"
53128,"Jászfényszaru, Jászberényi járás, Jász-Nagykun-Szolnok megye, Észak-Alföld, Alföld és Észak, 5126, Magyarország"
53132,"Sopron, Soproni járás, Győr-Moson-Sopron megye, Nyugat-Dunántúl, Dunántúl, 9400, Magyarország"
53136,"Szarvas, Szarvasi járás, Békés megye, Dél-Alföld, Alföld és Észak, 5540, Magyarország"
53137,"Zalaegerszeg, Zalaegerszegi járás, Zala megye, Nyugat-Dunántúl, Dunántúl, 8900, Magyarország"
53138,"Szegvár, Szentesi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6635, Magyarország"
53142,"Tiszaföldvár, Kunszentmártoni járás, Jász-Nagykun-Szolnok megye, Észak-Alföld, Alföld és Észak, Magyarország"
53143,"Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4000, Magyarország"
53150,"Daerah Khusus Ibukota Jakarta, Indonesia"
53157,"Surabaya, Jawa Timur, Indonesia"
53192,"Bandung, Jawa Barat, Indonesia"
53201,"Semarang, Jawa Tengah, Indonesia"
53209,"Kota Medan, Sumatera Utara, Indonesia"
53218,"Bukittinggi, Agam, Sumatera Barat, 1234, Indonesia"
53219,"Ambon, Maluku, Indonesia"
53220,"Balige, Toba Samosir, Sumatera Utara, Indonesia"
53221,"Balikpapan, Kalimantan Timur, 76128, Indonesia"
53223,"Banda Aceh, Aceh, Indonesia"
53224,"Bandar Lampung, Lampung, Indonesia"
53232,"Bangko, Jambi, 37313, Indonesia"
53233,"Banjarmasin, Kalimantan Selatan, Indonesia"
53234,"Banjarbaru, Kalimantan Selatan, Indonesia"
53235,"Banjarmasin, Kalimantan Selatan, Indonesia"
53237,"Banyuwangi, Jawa Timur, Indonesia"
53238,"Barabai, Hulu Sungai Tengah, Kalimantan Selatan, 71311, Indonesia"
53239,"Batam, Kepulauan Riau, Indonesia"
53240,"Baturaja, Jalan Raya Prabumulih - Baturaja, TERUSAN, Baturaja Timur, Ogan Komering Ulu, Sumatera Selatan, 32117, Indonesia"
53241,"Eat Lendang Bau, Batas Dusun Baren Banteng, BATAS DESA BATU JANGKIH, Kabupaten Lombok Tengah, Nusa Tenggara Barat, Indonesia"
53242,"Bekasi, Jawa Barat, 17136, Indonesia"
53243,"Belawan, Kalimantan Tengah, Indonesia"
53244,"Bengkulu, Indonesia"
53245,"Biak Numfor, Papua, 98111, Indonesia"
53246,"Kabupaten Bima, Nusa Tenggara Barat, 84171, Indonesia"
53247,"DPRD Bireun, AH25, Bireuen, Kota Juang, Bireuen, Aceh, 24251, Indonesia"
53248,"Bitung, Sulawesi Utara, 95522, Indonesia"
53249,"Blitar, Jawa Timur, Indonesia"
53250,"Bogor, Jawa Barat, 16121, Indonesia"
53251,"Bojonegoro, Jawa Timur, Indonesia"
53252,"Bondowoso, Jawa Timur, Indonesia"
53254,"Cepu, Ngelo, Blora, Jawa Tengah, 58211 - 58219, Indonesia"
53255,"Ciamis, Jawa Barat, 46211, Indonesia"
53256,"Cianjur, Jawa Barat, 43212, Indonesia"
53257,"Cikampek, Jalan Cikampek Tirtamulya, Cikampek Timur, Jawa Barat, 41373, Indonesia"
53258,"Cilacap, Jawa Tengah, Indonesia"
53259,"Cilegon, Banten, Indonesia"
53260,"Cimahi, Jawa Barat, 40524, Indonesia"
53261,"Cirebon, Jawa Barat, 45121, Indonesia"
53262,"Denpasar, Bali, Indonesia"
53264,"Depok, Jawa Barat, 16439, Indonesia"
53265,"Jalan Dili, Cimone, Karawaci, Tangerang, Banten, 15114, Indonesia"
53266,"Dumai, Kecamatan Dumai Timur, Kota Dumai, Riau, 28813, Indonesia"
53267,"Ende, Nusa Tenggara Timur, Indonesia"
53268,"Garut, Jawa Barat, 44117, Indonesia"
53269,"Gorontalo, Indonesia"
53270,"Gresik, Jawa Timur, Indonesia"
53271,"Gunung Sitoli, Saombo, Kota Gunungsitoli, Sumatera Utara, 22811, Indonesia"
53272,"Indramayu, Tanjung Agung, Muara Enim, Sumatera Selatan, Indonesia"
53318,"Jambi, Indonesia"
53319,"Jayapura, Papua, Indonesia"
53320,"Jember, Jawa Timur, Indonesia"
53321,"Jepara, Jawa Tengah, Indonesia"
53322,"Jombang, Jawa Timur, 61417, Indonesia"
53323,"Kabanjahe, Karo, Sumatera Utara, 22111-22215, Indonesia"
53324,"Karawang, Jawa Barat, 41312, Indonesia"
53325,"Kayu Agung, Ogan Komering Ilir, Sumatera Selatan, 30651, Indonesia"
53326,"Kebumen, Jawa Tengah, Indonesia"
53327,"Kediri, Jawa Timur, Indonesia"
